text,text_id,targets,spans,target_sentiments,categories,category_sentiments
"Judging from previous posts this used to be a good place, but not any longer.",1004293:0,['place'],"[[51, 56]]",,,
"We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.",1004293:1,['staff'],"[[75, 80]]",,,
"They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table.",1004293:2,[],[],,,
The food was lousy - too sweet or too salty and the portions tiny.,1004293:3,"['food', 'portions']","[[4, 8], [52, 60]]",,,
"After all that, they complained to me about the small tip.",1004293:4,[],[],,,
Avoid this place!,1004293:5,['place'],"[[11, 16]]",,,
"I have eaten at Saul, many times, the food is always consistently, outrageously good.",1014458:0,['food'],"[[38, 42]]",,,
Saul is the best restaurant on Smith Street and in Brooklyn.,1014458:1,['Saul'],"[[0, 4]]",,,
The duck confit is always amazing and the foie gras terrine with figs was out of this world.,1014458:2,"['duck confit', 'foie gras terrine with figs']","[[4, 15], [42, 69]]",,,
The wine list is interesting and has many good values.,1014458:3,['wine list'],"[[4, 13]]",,,
"For the price, you cannot eat this well in Manhattan.",1014458:4,[],[],,,
I was very disappointed with this restaurant.,1016296:0,['restaurant'],"[[34, 44]]",,,
Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,1016296:1,['cart attendant'],"[[12, 26]]",,,
I had to ask her three times before she finally came back with the dish Ive requested.,1016296:2,[],[],,,
"Food was okay, nothing great.",1016296:3,['Food'],"[[0, 4]]",,,
Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. ,1016296:4,"['Chow fun', 'pork shu mai']","[[0, 8], [18, 30]]",,,
I/we will never go back to this place again.,1016296:5,['place'],"[[32, 37]]",,,
"Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!",1028246:0,['Fish'],"[[35, 39]]",,,
"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!",1028246:1,"['Service', 'oysters']","[[0, 7], [20, 27]]",,,
You can't go wrong here.,1028246:2,[],[],,,
Every time in New York I make it a point to visit Restaurant Saul on Smith Street.,1032695:0,['Restaurant Saul'],"[[50, 65]]",,,
